This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
"051713","COCHETOPA CR",-106.7611,38.4461,2438,"COOP","051713"
"102707","DUBOIS EXPER",-112.2006,44.2436,1661,"COOP","102707"
"107386","PRIEST RIVER",-116.8358,48.3514,725,"COOP","107386"
"244084","HERON 2 NW",-116.0014,48.0800,683,"COOP","244084"
"244766","KREMLIN",-110.1075,48.5217,853,"COOP","244766"
"245735","MISSOULA 2 N",-113.9678,46.8983,1042,"COOP","245735"
"246700","POWER 6 SE",-111.5981,47.6544,1143,"COOP","246700"
"351643","CLATSKANIE",-123.2058,46.1081,7,"COOP","351643"
"351836","COQUILLE CIT",-124.2025,43.1872,7,"COOP","351836"
"353705","HASKINS DAM",-123.3511,45.3122,230,"COOP","353705"
"354811","LEABURG 1 SW",-122.6883,44.1000,206,"COOP","354811"
"426135","NEPHI",-111.8322,39.7125,1562,"COOP","426135"
"452914","FORKS 1 E",-124.3539,47.9558,107,"COOP","452914"
"05J08S","UNIVERSITY C",-105.5761,40.0328,3139,"SNOTEL","05J08S"
"05J10S","LAKE IRENE",-105.8197,40.4142,3261,"SNOTEL","05J10S"
"05J41S","LAKE ELDORA",-105.5894,39.9367,2957,"SNOTEL","05J41S"
"09E07S","PARKER PEAK",-109.9167,44.7333,2865,"SNOTEL","09E07S"
"09E11S","EVENING STAR",-109.7833,44.6500,2804,"SNOTEL","09E11S"
"10C03S","PORCUPINE",-110.4689,46.1114,1981,"SNOTEL","10C03S"
"10F16S","LOOMIS PARK",-110.1394,43.1736,2512,"SNOTEL","10F16S"
"11C02S","PICKFOOT CRE",-111.2686,46.5803,2027,"SNOTEL","11C02S"
"11K31S","BUCK FLAT",-111.4364,39.1336,2987,"SNOTEL","11K31S"
"12B13S","WALDRON",-112.7906,47.9203,1707,"SNOTEL","12B13S"
"14D02S","NEZ PERCE CA",-114.4800,45.7311,1722,"SNOTEL","14D02S"
"15H04S","BIG BEND",-115.6889,41.7619,2042,"SNOTEL","15H04S"
"20K27S","TAHOE CITY C",-120.1547,39.1717,2057,"SNOTEL","20K27S"
"23066","GRAND JUNCTI",-108.5400,39.1342,1481,"WBAN","23066"
"23157","BISHOP AIRPO",-118.3581,37.3711,1250,"WBAN","23157"
"23271","SACRAMENTO W",-121.4169,38.5556,12,"WBAN","23271"
"24120","COALVILLE SA",-111.4000,40.9167,1763,"WBAN","24120"
"24131","BOISE AIR TE",-116.2406,43.5667,858,"WBAN","24131"
"24133","BURLEY MUNIC",-113.7661,42.5417,1262,"WBAN","24133"
"24135","BUTTE BERT M",-112.5006,45.9647,1678,"WBAN","24135"
"24225","MEDFORD ROGU",-122.8722,42.3811,395,"WBAN","24225"
"24229","PORTLAND INT",-122.6003,45.5908,6,"WBAN","24229"
"24233","SEATTLE SEAT",-122.3139,47.4444,113,"WBAN","24233"
"24284","NORTH BEND M",-124.2436,43.4133,2,"WBAN","24284"
"044890","LEMON COVE",-119.0264,36.3817,156,"COOP","044890"
"045378","MARTINEZ WAT",-122.1142,38.0131,12,"COOP","045378"
"045795","MONTEREY",-121.9100,36.5903,117,"COOP","045795"
"046144","NEWARK",-122.0325,37.5147,3,"COOP","046144"
"048758","TAHOE CITY",-120.1428,39.1678,1899,"COOP","048758"
"051959","CRESTED BUTT",-106.9764,38.8742,2698,"COOP","051959"
"106152","MOSCOW U OF",-116.9608,46.7244,811,"COOP","106152"
"245153","LOMA 1 WNW",-110.5308,47.9442,786,"COOP","245153"
"248501","VALIER",-112.2511,48.3089,1161,"COOP","248501"
"297340","REDROCK 1 NN",-108.7269,32.7044,1234,"COOP","297340"
"351877","CORVALLIS WA",-123.4581,44.5086,180,"COOP","351877"
"353047","FOSTER DAM",-122.6728,44.4139,168,"COOP","353047"
"358536","TOKETEE FALL",-122.4497,43.2750,628,"COOP","358536"
"359461","WINCHESTER",-123.3536,43.2828,140,"COOP","359461"
"455224","MC MILLIN RE",-122.2667,47.1333,176,"COOP","455224"
"05J40S","WILLOW PARK",-105.7333,40.4325,3261,"SNOTEL","05J40S"
"05K09S","GRIZZLY PEAK",-105.8697,39.6461,3383,"SNOTEL","05K09S"
"06K08S","FREMONT PASS",-106.1967,39.3797,3475,"SNOTEL","06K08S"
"07E33S","BURGESS JUNC",-107.5333,44.7833,2402,"SNOTEL","07E33S"
"09E10S","BEARTOOTH LA",-109.5833,44.9417,2829,"SNOTEL","09E10S"
"09F08S","LITTLE WARM",-109.7500,43.5000,2667,"SNOTEL","09F08S"
"10C09S","DEADMAN CREE",-110.6758,46.7931,1966,"SNOTEL","10C09S"
"10E09S","LEWIS LAKE D",-110.6664,44.2086,2393,"SNOTEL","10E09S"
"11C01S","BOULDER MTN.",-111.2886,46.5586,2423,"SNOTEL","11C01S"
"11E24S","TEPEE CREEK",-111.7106,44.7853,2438,"SNOTEL","11E24S"
"11E35S","BLACK BEAR",-111.1286,44.5081,2490,"SNOTEL","11E35S"
"11H55S","DRY BREAD PO",-111.5378,41.4131,2545,"SNOTEL","11H55S"
"11J02S","CHALK CREEK",-111.0692,40.8850,2499,"SNOTEL","11J02S"
"11K13S","BEAVER DAMS",-111.5581,39.1372,2438,"SNOTEL","11K13S"
"12B12S","MOUNT LOCKHA",-112.8228,47.9169,1951,"SNOTEL","12B12S"
"12E07S","DIVIDE",-112.0567,44.7931,2377,"SNOTEL","12E07S"
"13C03S","SKALKAHO SUM",-113.7725,46.2428,2210,"SNOTEL","13C03S"
"15F05S","TRINITY MTN.",-115.4378,43.6286,2368,"SNOTEL","15F05S"
"15F14S","GRAHAM GUARD",-115.2739,43.9539,1734,"SNOTEL","15F14S"
"16H05S","LAUREL DRAW",-116.0281,41.7769,2042,"SNOTEL","16H05S"
"18E09S","TIPTON",-118.4261,44.6558,1570,"SNOTEL","18E09S"
"19E07S","STARR RIDGE",-119.0211,44.2650,1615,"SNOTEL","19E07S"
"20K25S","WARD CREEK #",-120.2189,39.1356,2057,"SNOTEL","20K25S"
"22F43S","ROARING RIVE",-122.0311,43.9011,1494,"SNOTEL","22F43S"
"23050","ALBUQUERQUE",-106.6219,35.0356,1618,"WBAN","23050"
"23061","ALAMOSA SAN",-105.8614,37.4389,2296,"WBAN","23061"
"23154","ELY YELLAND",-114.8453,39.2950,1909,"WBAN","23154"
"23155","BAKERSFIELD",-119.0542,35.4344,149,"WBAN","23155"
"23162","DELTA FAA AP",-112.5167,39.3833,1452,"WBAN","23162"
"23234","SAN FRANCISC",-122.3981,37.6197,2,"WBAN","23234"
"24018","CHEYENNE MUN",-104.8069,41.1578,1864,"WBAN","24018"
"24033","BILLINGS LOG",-108.5422,45.8069,1091,"WBAN","24033"
"24037","MILES CITY F",-105.8825,46.4267,800,"WBAN","24037"
"94008","GLASGOW INTL",-106.6214,48.2139,696,"WBAN","94008"
"044997","LIVERMORE",-121.7778,37.6947,146,"COOP","044997"
"046136","NEVADA CITY",-121.0008,39.2467,848,"COOP","046136"
"046730","PASO ROBLES",-120.6856,35.6278,213,"COOP","046730"
"047916","SANTA CRUZ",-121.9911,36.9906,40,"COOP","047916"
"049152","U C L A",-118.4428,34.0697,131,"COOP","049152"
"051179","BYERS 5 ENE",-104.1275,39.7403,1554,"COOP","051179"
"053867","HAYDEN",-107.2547,40.4928,1963,"COOP","053867"
"056306","PAONIA 1 SW",-107.6236,38.8522,1701,"COOP","056306"
"100010","ABERDEEN EXP",-112.8253,42.9536,1343,"COOP","100010"
"101408","CAMBRIDGE",-116.6753,44.5733,808,"COOP","101408"
"109303","TWIN FALLS 6",-114.3461,42.5458,1207,"COOP","109303"
"GVL","GROVELAND R",-120.1000,37.8170,959,"CDEC","GVL"
"241552","CASCADE 5 S",-111.7100,47.2194,1024,"COOP","241552"
"243346","GALATA 16 SW",-111.5675,48.2922,1082,"COOP","243346"
"245961","MYSTIC LAKE",-109.7311,45.2436,1995,"COOP","245961"
"355593","MILTON FREEW",-118.4089,45.9428,296,"COOP","355593"
"355734","MORO",-120.7236,45.4825,570,"COOP","355734"
"426919","PLEASANT GRO",-111.7219,40.3647,1451,"COOP","426919"
"429717","ZION NATIONA",-112.9842,37.2083,1234,"COOP","429717"
"450008","ABERDEEN",-123.8292,46.9658,3,"COOP","450008"
"450844","BOUNDARY DAM",-117.3594,48.9908,549,"COOP","450844"
"456039","ODESSA",-118.6997,47.3286,466,"COOP","456039"
"457544","SEQUIM 2 E",-123.0639,48.0850,15,"COOP","457544"
"459200","WHITMAN MISS",-118.4628,46.0436,193,"COOP","459200"
"06J12S","ROACH",-106.0458,40.8750,2957,"SNOTEL","06J12S"
"06K40S","BRUMLEY",-106.5417,39.0875,3231,"SNOTEL","06K40S"
"07E34S","DOME LAKE",-107.3000,44.5667,2707,"SNOTEL","07E34S"
"07E36S","CLOUD PEAK R",-107.0667,44.4000,3005,"SNOTEL","07E36S"
"07M27S","IDARADO",-107.6753,37.9339,2987,"SNOTEL","07M27S"
"09D06S","FISHER CREEK",-109.9503,45.0586,2774,"SNOTEL","09D06S"
"09J01S","KING'S CABIN",-109.5439,40.7164,2661,"SNOTEL","09J01S"
"10D12S","MONUMENT PEA",-110.2369,45.2175,2697,"SNOTEL","10D12S"
"10E06S","SYLVAN LAKE",-110.1500,44.4833,2566,"SNOTEL","10E06S"
"11H37S","BUG LAKE",-111.4192,41.6847,2423,"SNOTEL","11H37S"
"11J01S","CHALK CREEK",-111.0478,40.8550,2774,"SNOTEL","11J01S"
"11K22S","CLEAR CREEK",-111.2506,39.8928,2530,"SNOTEL","11K22S"
"15E08S","COZY COVE",-115.6550,44.2883,1640,"SNOTEL","15E08S"
"15J06S","LAMOILLE #3",-115.3817,40.6444,2347,"SNOTEL","15J06S"
"18D06S","LUCKY STRIKE",-118.8481,45.2747,1539,"SNOTEL","18D06S"
"18D09S","BEAVER RESER",-118.2197,45.1450,1570,"SNOTEL","18D09S"
"18H01S","DISASTER PEA",-118.1886,41.9675,1981,"SNOTEL","18H01S"
"23081","GALLUP MUNIC",-108.7922,35.5111,1971,"WBAN","23081"
"23183","PHOENIX SKY",-112.0039,33.4278,337,"WBAN","23183"
"23185","RENO TAHOE I",-119.7711,39.4839,1344,"WBAN","23185"
"24022","LARAMIE REGI",-105.6744,41.3125,2215,"WBAN","24022"
"24213","EUREKA",-124.1603,40.8106,6,"WBAN","24213"
"93037","COLORADO SPR",-104.6883,38.8100,1884,"WBAN","93037"
"043573","GRASS VALLEY",-121.0681,39.2042,732,"COOP","043573"
"94240","QUILLAYUTE S",-124.5550,47.9375,56,"WBAN","94240"
"044223","IMPERIAL",-115.5667,32.8489,-20,"COOP","044223"
"045360","MARKLEY COVE",-122.1261,38.4939,146,"COOP","045360"
"048045","SCOTIA",-124.1039,40.4833,41,"COOP","048045"
"BOW","BOWMAN",-120.6500,39.4500,1641,"CDEC","BOW"
"243110","FORT ASSINNI",-109.7972,48.4983,796,"COOP","243110"
"243530","GILDFORD",-110.3022,48.5653,860,"COOP","243530"
"245761","MOCCASIN EXP",-109.9514,47.0575,1285,"COOP","245761"
"247560","SIDNEY",-104.1467,47.7283,589,"COOP","247560"
"248324","TOWNSEND",-111.5378,46.3308,1170,"COOP","248324"
"293142","FARMINGTON A",-108.3086,36.6897,1715,"COOP","293142"
"353402","GOVERNMENT C",-121.7419,45.3011,1213,"COOP","353402"
"354126","IDLEYLD PARK",-122.9653,43.3708,329,"COOP","354126"
"355080","LOWER HAY CR",-120.9747,44.7328,575,"COOP","355080"
"356634","PILOT ROCK 1",-118.8253,45.4756,524,"COOP","356634"
"357169","RIDDLE",-123.3572,42.9506,207,"COOP","357169"
"357940","SOUTH DEER C",-123.2247,43.1708,210,"COOP","357940"
"420820","BOUNTIFUL-VA",-111.8903,40.8547,1384,"COOP","420820"
"421446","CITY CREEK W",-111.8314,40.8397,1625,"COOP","421446"
"425402","MANTI",-111.6306,39.2583,1750,"COOP","425402"
"451691","CONNELL 12 S",-118.7878,46.5086,329,"COOP","451691"
"451939","CUSHMAN POWE",-123.1600,47.3706,6,"COOP","451939"
"06K01S","HOOSIER PASS",-106.0597,39.3611,3475,"SNOTEL","06K01S"
"06M03S","UPPER SAN JU",-106.8353,37.4856,3109,"SNOTEL","06M03S"
"07F01S","BEAR TRAP ME",-107.0667,43.8833,2499,"SNOTEL","07F01S"
"09F04S","BURROUGHS CR",-109.6667,43.7000,2667,"SNOTEL","09F04S"
"10F02S","BASE CAMP",-110.4436,43.9442,2143,"SNOTEL","10F02S"
"10J52S","TRIAL LAKE",-110.9483,40.6700,3036,"SNOTEL","10J52S"
"11H25S","LITTLE BEAR",-111.8264,41.4058,1996,"SNOTEL","11H25S"
"11H36S","TONY GROVE L",-111.6294,41.8983,2560,"SNOTEL","11H36S"
"11K03S","MAMMOTH-COTT",-111.3189,39.6831,2682,"SNOTEL","11K03S"
"13C13S","BLACK PINE",-113.4303,46.4144,2198,"SNOTEL","13C13S"
"13C31S","N FK ELK CRE",-113.2764,46.8725,1905,"SNOTEL","13C31S"
"13D22S","SADDLE MTN.",-113.9683,45.6931,2420,"SNOTEL","13D22S"
"13F04S","GARFIELD R.S",-113.9308,43.6106,1999,"SNOTEL","13F04S"
"20L02S","RUBICON #2",-120.1308,38.9994,2286,"SNOTEL","20L02S"
"24219","THE DALLES M",-121.1672,45.6186,72,"WBAN","24219"
"045119","LOS BANOS AR",-120.9422,36.8806,262,"COOP","045119"
"109846","WINCHESTER",-116.6228,46.2375,1204,"COOP","109846"
"245603","MELVILLE 4 W",-110.0500,46.1047,1635,"COOP","245603"
"350501","BARNES STATI",-120.2169,43.9456,1210,"COOP","350501"
"353971","HOLLEY",-122.7842,44.3525,186,"COOP","353971"
"420336","ARCHES NP HQ",-109.6192,38.6164,1259,"COOP","420336"
"421214","CASTLE DALE",-111.0125,39.2078,1713,"COOP","421214"
"429165","WANSHIP DAM",-111.4078,40.7908,1811,"COOP","429165"
"453515","HARRINGTON 1",-118.2553,47.4900,668,"COOP","453515"
"459376","WINTHROP 1 W",-120.1936,48.4539,535,"COOP","459376"
"10D31S","BOX CANYON",-110.2492,45.2722,2033,"SNOTEL","10D31S"
"11K52S","PAYSON R.S.",-111.6308,39.9297,2454,"SNOTEL","11K52S"
"14G02S","MAGIC MOUNTA",-114.2856,42.1822,2097,"SNOTEL","14G02S"
"17H07S","LAMANCE CREE",-117.6314,41.5153,1829,"SNOTEL","17H07S"
"21E06S","HOGG PASS",-121.8569,44.4206,1451,"SNOTEL","21E06S"
"23170","HANKSVILLE",-110.7153,38.3706,1313,"WBAN","23170"
"24036","LEWISTOWN MU",-109.4667,47.0492,1263,"WBAN","24036"
"042294","DAVIS 2 WSW",-121.7761,38.5350,18,"COOP","042294"
"93129","CEDAR CITY M",-113.0944,37.7086,1703,"WBAN","93129"
"043875","HEALDSBURG",-122.8731,38.6175,33,"COOP","043875"
"241875","COHAGEN",-106.6167,47.0567,831,"COOP","241875"
"354835","LEMOLO LAKE",-122.2208,43.3597,1243,"COOP","354835"
"355050","LOOKOUT POIN",-122.7597,43.9136,217,"COOP","355050"
"025270","MARICOPA 4 N",-112.0303,33.1139,354,"COOP","025270"
"11L12S","GOOSEBERRY R",-111.6833,38.8003,2414,"SNOTEL","11L12S"
"14A12S","STAHL PEAK",-114.8631,48.9089,1838,"SNOTEL","14A12S"
"15J09S","GREEN MOUNTA",-115.5253,40.3844,2438,"SNOTEL","15J09S"
"03103","FLAGSTAFF PU",-111.6664,35.1442,2135,"WBAN","03103"
"03104","PALM SPRINGS",-116.1600,33.6278,-34,"WBAN","03104"
"24089","CASPER NATRO",-106.4636,42.8975,1627,"WBAN","24089"
"24150","LIVINGSTON M",-110.4408,45.6983,1415,"WBAN","24150"
"94030","VERNAL AIRPO",-109.5531,40.4269,1667,"WBAN","94030"
"044025","HOLLISTER 2",-121.4222,36.8486,84,"COOP","044025"
"044712","LAKE SOLANO",-122.0039,38.4919,58,"COOP","044712"
"053079","FOWLER 1 SE",-104.0083,38.1236,1320,"COOP","053079"
"053489","GRAND JUNCTI",-108.4664,39.0422,1451,"COOP","053489"
"245043","LINDBERGH LA",-113.7125,47.4083,1317,"COOP","245043"
"11G01S","SOMSEN RANCH",-111.3589,42.9525,2073,"SNOTEL","11G01S"
"18E05S","BOURNE",-118.1878,44.8306,1768,"SNOTEL","18E05S"
"045064","LOMPOC",-120.4514,34.6539,59,"COOP","045064"
"83-6054","MIGUELITO",-121.8133,37.3862,141,"HDSC","83-6054"
"248809","WEST GLACIER",-113.9847,48.5003,961,"COOP","248809"
"16E05S","SQUAW FLAT",-116.2486,44.7708,1902,"SNOTEL","16E05S"
"15B21S","HUMBOLDT GUL",-115.7769,47.5317,1295,"SNOTEL","15B21S"
"356532","PELTON DAM",-121.2506,44.7275,430,"COOP","356532"
"09D08S","WHITE MILL",-109.9103,45.0450,2652,"SNOTEL","09D08S"
"09G03S","HOBBS PARK",-109.1000,42.8667,3078,"SNOTEL","09G03S"
"10J20S","STEEL CREEK",-110.5042,40.9094,3078,"SNOTEL","10J20S"
"13A24S","EMERY CREEK",-113.9369,48.4339,1326,"SNOTEL","13A24S"
"15H01S","BEAR CREEK",-115.4522,41.8342,2377,"SNOTEL","15H01S"
"241044","BOZEMAN MONT",-111.0453,45.6622,1497,"COOP","241044"
"422385","ECHO DAM",-111.4308,40.9675,1667,"COOP","422385"
"428119","SPANISH FORK",-111.6044,40.0797,1439,"COOP","428119"
"454679","LIND 3 NE",-118.5706,46.9983,497,"COOP","454679"
"040161","ALTURAS",-120.5528,41.4931,1341,"COOP","040161"
"05J06S","DEADMAN HILL",-105.7697,40.8056,3115,"SNOTEL","05J06S"
"05J37S","JOE WRIGHT",-105.8869,40.5319,3085,"SNOTEL","05J37S"
"05K14S","BERTHOUD SUM",-105.7778,39.8039,3444,"SNOTEL","05K14S"
"06J01S","DRY LAKE",-106.7811,40.5339,2560,"SNOTEL","06J01S"
"06J15S","ELK RIVER",-106.9686,40.8478,2652,"SNOTEL","06J15S"
"06K14S","SUMMIT RANCH",-106.1578,39.7178,2865,"SNOTEL","06K14S"
"10C06S","SPUR PARK",-110.6222,46.7464,2469,"SNOTEL","10C06S"
"10G13S","SNIDER BASIN",-110.5314,42.4947,2457,"SNOTEL","10G13S"
"11H57S","MONTE CRISTO",-111.4967,41.4658,2731,"SNOTEL","11H57S"
"11L01S","FARNSWORTH L",-111.6764,38.7728,2926,"SNOTEL","11L01S"
"13A15S","BADGER PASS",-113.0239,48.1308,2103,"SNOTEL","13A15S"
"15E04S","DEADWOOD SUM",-115.5633,44.5444,2091,"SNOTEL","15E04S"
"15H14S","POLE CREEK R",-115.2469,41.8731,2539,"SNOTEL","15H14S"
"18D08S","COUNTY LINE",-118.5500,45.1911,1463,"SNOTEL","18D08S"
"041614","CEDARVILLE",-120.1736,41.5336,1423,"COOP","041614"
"23194","WINSLOW MUNI",-110.7208,35.0281,1489,"WBAN","23194"
"93193","FRESNO YOSEM",-119.7194,36.7800,101,"WBAN","93193"
"456534","PLAIN",-120.6508,47.7811,591,"COOP","456534"
"07M14S","MINERAL CREE",-107.7264,37.8472,3060,"SNOTEL","07M14S"
"21D08S","MT HOOD TEST",-121.7158,45.3214,1646,"SNOTEL","21D08S"
"045118","LOS BANOS",-120.8697,37.0533,37,"COOP","045118"
"046074","NAPA STATE H",-122.2642,38.2775,11,"COOP","046074"
"059175","WINTER PARK",-105.7617,39.8903,2775,"COOP","059175"
"241047","BOZEMAN 6 W",-111.1550,45.6750,1455,"COOP","241047"
"244241","HOLTER DAM",-112.0122,46.9914,1063,"COOP","244241"
"350897","BONNEVILLE D",-121.9519,45.6361,19,"COOP","350897"
"355055","LOST CREEK D",-122.6750,42.6722,482,"COOP","355055"
"355160","MALHEUR BRAN",-117.0247,43.9794,689,"COOP","355160"
"455110","MAYFIELD POW",-122.5939,46.5044,85,"COOP","455110"
"07M33S","RED MOUNTAIN",-107.7133,37.8917,3414,"SNOTEL","07M33S"
"08F01S","OWL CREEK",-109.0167,43.6667,2736,"SNOTEL","08F01S"
"10E03S","CANYON",-110.5000,44.7333,2420,"SNOTEL","10E03S"
"10G08S","SALT RIVER S",-110.9100,42.5064,2316,"SNOTEL","10G08S"
"10J30S","BROWN DUCK",-110.5847,40.5806,3231,"SNOTEL","10J30S"
"11G06S","EMIGRANT SUM",-111.5608,42.3603,2252,"SNOTEL","11G06S"
"11J23S","DANIELS-STRA",-111.2567,40.2953,2438,"SNOTEL","11J23S"
"11J52S","PARLEY'S SUM",-111.6286,40.7619,2286,"SNOTEL","11J52S"
"12D09S","BASIN CREEK",-112.5208,45.7978,2188,"SNOTEL","12D09S"
"13D19S","DARKHORSE LA",-113.5850,45.1744,2621,"SNOTEL","13D19S"
"14C12S","TWIN LAKES",-114.5053,46.1433,1951,"SNOTEL","14C12S"
"19D03S","MADISON BUTT",-119.4958,45.1053,1600,"SNOTEL","19D03S"
"20K04S","INDEPENDENCE",-120.2928,39.4522,2134,"SNOTEL","20K04S"
"21D35S","MUD RIDGE",-121.7367,45.2536,1158,"SNOTEL","21D35S"
"22E07S","JUMP OFF JOE",-122.1669,44.3861,1067,"SNOTEL","22E07S"
"22E08S","DALY LAKE",-122.0872,44.5219,1097,"SNOTEL","22E08S"
"22F42S","HOLLAND MEAD",-122.5689,43.6692,1494,"SNOTEL","22F42S"
"22G12S","FOURMILE LAK",-122.2289,42.4392,1829,"SNOTEL","22G12S"
"23152","BURBANK-GLEN",-118.3575,34.2006,226,"WBAN","23152"
"23160","TUCSON INTER",-110.9553,32.1314,777,"WBAN","23160"
"23232","SACRAMENTO E",-121.4950,38.5069,5,"WBAN","23232"
"24121","ELKO REGIONA",-115.7886,40.8289,1533,"WBAN","24121"
"93134","LOS ANGELES",-118.2353,34.0511,70,"WBAN","93134"
"243098","FORSYTH",-106.6744,46.2719,767,"COOP","243098"
"422578","EPHRAIM SORE",-111.5858,39.3703,1679,"COOP","422578"
"422592","ESCALANTE",-111.5978,37.7686,1771,"COOP","422592"
"487555","REDBIRD",-104.2881,43.2450,1186,"COOP","487555"
"12L12S","MERCHANT VAL",-112.4364,38.3031,2667,"SNOTEL","12L12S"
"12M03S","WEBSTER FLAT",-112.9003,37.5739,2804,"SNOTEL","12M03S"
"03159","LANCASTER WM",-118.2117,34.7411,713,"WBAN","03159"
"248430","TWIN BRIDGES",-112.3261,45.5472,1410,"COOP","248430"
"13A26S","PIKE CREEK",-113.3281,48.3031,1807,"SNOTEL","13A26S"
"14A11S","GRAVE CREEK",-114.7664,48.9144,1311,"SNOTEL","14A11S"
"243581","GLENDIVE",-104.7183,47.1064,633,"COOP","243581"
"248211","THOMPSON FAL",-115.3594,47.5933,725,"COOP","248211"
"353604","HALFWAY",-117.1131,44.8783,812,"COOP","353604"
"357127","REX 1 S",-122.9142,45.3036,157,"COOP","357127"
"357823","SILVERTON",-122.7739,45.0050,124,"COOP","357823"
"358173","SUMMER LAKE",-120.7897,42.9592,1278,"COOP","358173"
"359390","WILLIAMS 1 N",-123.2858,42.2283,442,"COOP","359390"
"454154","KENNEWICK",-119.1011,46.2111,119,"COOP","454154"
"456789","PULLMAN 2 NW",-117.1911,46.7564,776,"COOP","456789"
"020949","BOUSE",-114.0242,33.9431,282,"COOP","020949"
"029634","YOUNGTOWN",-112.3014,33.5950,346,"COOP","029634"
"05J42S","NIWOT",-105.5500,40.0333,3021,"SNOTEL","05J42S"
"05M14S","WHISKEY CK",-105.1222,37.2139,3115,"SNOTEL","05M14S"
"06J06S","LYNX PASS",-106.6703,40.0781,2707,"SNOTEL","06J06S"
"040379","AUBERRY 2 NW",-119.5128,37.0919,637,"COOP","040379"
"09E08S","WOLVERINE",-109.6500,44.8000,2332,"SNOTEL","09E08S"
"09F24S","KIRWIN",-109.3167,43.8667,2911,"SNOTEL","09F24S"
"10D07S","NORTHEAST EN",-110.0139,45.0064,2240,"SNOTEL","10D07S"
"10E15S","GRASSY LAKE",-110.8347,44.1264,2214,"SNOTEL","10E15S"
"11E03S","LAKEVIEW RID",-111.8236,44.5889,2256,"SNOTEL","11E03S"
"11G05S","SLUG CREEK D",-111.2983,42.5622,2202,"SNOTEL","11G05S"
"11K21S","CLEAR CREEK",-111.2831,39.8664,2804,"SNOTEL","11K21S"
"12M05S","HARRIS FLAT",-112.5753,37.4900,2377,"SNOTEL","12M05S"
