AQC00914000        1166P
USC00014502         366S
USC00014603         328P
USC00014619         382S
USC00014798         363S
USC00014866         318P
USC00015112         371P
USC00015121         369C
USC00015420         343S
USC00015439         344S
USC00015465         347P
USC00015537         385P
USC00015635         392S
USC00015658         385S
USC00016000         391P
USC00016121         384P
USC00016129         366P
USC00016246         387S
USC00016334         399P
USC00016436         364S
USC00016478         385S
USC00016847         382S
USC00016988         403S
USC00017020         376P
USC00017025         336P
USC00017131         388S
USC00017157         414S
USC00017207         365S
USC00017304         392P
USC00017366         341S
USC00017947         384P
USC00017999         363S
USC00018024         374S
USC00018038         331S
USC00018178         375S
USC00018209         370S
USC00018323         355S
USC00018380         390S
USC00018385         363S
USC00018438         379S
USC00018469         367C
USC00018517         375P
USC00018605         336P
USC00018648         429P
USC00018653         358P
USC00018673         384S
USC00018755         315P
USC00018809         392S
USC00018859         353S
USC00018867         383P
USC00018998         412S
USC00020060          50P
USC00020080          34S
USC00020100          58S
USC00020159         115S
USC00020174         127P
USC00020287          74S
USC00020288          79P
USC00020380         136P
USC00020498          78S
USC00020586         105P
USC00020632          93S
USC00020670         103P
USC00020672          35P
USC00020678         121P
USC00020683          73P
USC00020750          66S
USC00020775         119P
USC00020808         120S
USC00020949          32S
USC00020958          71S
USC00021001         172P
USC00021026          56P
USC00021050          43S
USC00021231         126S
USC00021248          38S
USC00021282          89S
USC00021306          58P
USC00021314          55S
USC00021330          80S
USC00021353         107S
USC00021514          73P
USC00021574         100P
USC00021614         124P
USC00021664         135S
USC00021849         113S
USC00021920          81S
USC00022109         101S
USC00022140         150S
USC00022434          33P
USC00022659          87P
USC00022754          70S
USC00022790          31P
USC00022807          81P
USC00023009         135P
USC00023027          67P
USC00023150          60S
USC00023160         130P
USC00023190          76S
USC00023393          43S
USC00023448         113C
USC00023505          99P
USC00023596          83S
USC00023668          82P
USC00023683         123S
USC00024053         109P
USC00024089          41S
USC00024182          90S
USC00024391         144P
USC00024453         110S
USC00024590          83P
USC00024675         152S
USC00024702          43S
USC00024761          21P
USC00024829          54S
USC00024849          31P
USC00024977          61P
USC00025129          58P
USC00025270          48S
USC00025412         160S
USC00025418          68S
USC00025467          61S
USC00025512         114S
USC00025635          86S
USC00025665          31P
USC00025700          97P
USC00025780         155P
USC00025908          93P
USC00025924         117S
USC00026037         210S
USC00026119         158S
USC00026132          69S
USC00026180          26S
USC00026190          47S
USC00026250          31S
USC00026282         118S
USC00026328          56P
USC00026353          72P
USC00026468          47S
USC00026471          47S
USC00026513          68P
USC00026597         127P
USC00026601         155S
USC00026616          56S
USC00026653         149S
USC00026716         150S
USC00026796         111S
USC00026840         112S
USC00026865          26P
USC00027036         108S
USC00027281         107S
USC00027334         146S
USC00027370          53P
USC00027390          49S
USC00027435          55S
USC00027462          45P
USC00027480          88P
USC00027488          54S
USC00027530          76S
USC00027560          73P
USC00027593         159P
USC00027619         127S
USC00027622         122P
USC00027708         123S
USC00027716          71S
USC00027855          85S
USC00027880          89S
USC00028012          62S
USC00028018          70P
USC00028112          57P
USC00028162          55C
USC00028214          90S
USC00028329         101S
USC00028348         142P
USC00028349         191P
USC00028396          24S
USC00028468          37S
USC00028499          65S
USC00028516          30P
USC00028598          73S
USC00028619          88S
USC00028641          51P
USC00028650         219S
USC00028792          20P
USC00028795          74S
USC00028796          74S
USC00028800          95P
USC00028815          70S
USC00028817          61S
USC00028865         107P
USC00028904          68S
USC00028998          85P
USC00029114          34S
USC00029156         110S
USC00029158          91S
USC00029166         117S
USC00029271         112P
USC00029287          76S
USC00029309          60S
USC00029334          75S
USC00029359         142S
USC00029376          31P
USC00029410          58P
USC00029542          37S
USC00029562         101S
USC00029634          63C
USC00029645          48S
USC00029652          14P
USC00029656          20P
USC00030006         327C
USC00030064         322S
USC00030130         382S
USC00030150         366S
USC00030220         364S
USC00030234         359S
USC00030240         341S
USC00030286         343S
USC00030300         392S
USC00030326         332S
USC00030458         327S
USC00030460         328S
USC00030586         324P
USC00030616         308S
USC00030664         395S
USC00030746         353S
USC00030764         353S
USC00030798         319C
USC00030806         348S
USC00030814         336P
USC00030832         338C
USC00030936         332S
USC00031102         350S
USC00031132         328S
USC00031140         338P
USC00031152         360S
USC00031310         336P
USC00031442         353P
USC00031455         348P
USC00031457         350P
USC00031459         329P
USC00031492         348S
USC00031508         356P
USC00031596         348P
USC00031632         323S
USC00031666         364S
USC00031730         382S
USC00031750         367S
USC00031829         344S
USC00031834         355S
USC00031900         359C
USC00031948         356S
USC00031962         355C
USC00031968         325S
USC00032015         342S
USC00032148         335C
USC00032355         357S
USC00032356         322P
USC00032366         354S
USC00032444         304P
USC00032475         345P
USC00032540         374S
USC00032670         388P
USC00032760         345S
USC00032794         318S
USC00032842         380S
USC00032922         365S
USC00032930         320S
USC00032946         305P
USC00032962         320P
USC00032978         339C
USC00033132         318P
USC00033242         339S
USC00033428         352S
USC00033438         393S
USC00033442         349S
USC00033466         369S
USC00033544         334S
USC00033704         360P
USC00033734         336S
USC00033821         346S
USC00033862         324S
USC00034010         319S
USC00034106         316S
USC00034134         351P
USC00034185         354P
USC00034528         347S
USC00034548         343S
USC00034562         370S
USC00034572         324S
USC00034638         343S
USC00034666         299P
USC00034746         319S
USC00034756         384C
USC00034938         329P
USC00034988         371S
USC00035018         354P
USC00035036         318C
USC00035046         332P
USC00035079         359P
USC00035112         348S
USC00035160         347S
USC00035177         351P
USC00035186         325S
USC00035200         359S
USC00035354         356S
USC00035358         353S
USC00035498         348P
USC00035508         342P
USC00035512         358P
USC00035563         352C
USC00035591         340S
USC00035691         333S
USC00035754         357S
USC00035760         368C
USC00035820         352S
USC00035866         358S
USC00035908         370S
USC00036008         315S
USC00036253         336S
USC00036376         323S
USC00036380         317S
USC00036393         364P
USC00036403         324S
USC00036506         339S
USC00036562         351S
USC00036768         330P
USC00036918         328S
USC00036920         331S
USC00036928         323S
USC00037038         357P
USC00037383         380P
USC00037488         339S
USC00037582         365S
USC00037712         363S
USC00038052         327S
USC00040010         131P
USC00040014          81P
USC00040029          71S
USC00040136         109P
USC00040144         143P
USC00040161          46S
USC00040192          89P
USC00040212         267S
USC00040232          86P
USC00040235          82P
USC00040343         187S
USC00040379         189S
USC00040383         248S
USC00040436          22P
USC00040449         209S
USC00040521          30S
USC00040673         291S
USC00040684          38P
USC00040693         192P
USC00040738         233P
USC00040741         124S
USC00040779         159P
USC00040790         270S
USC00040798         140P
USC00040819          63P
USC00040850         252P
USC00040924          22S
USC00040931         149S
USC00040943          59S
USC00040983          36S
USC00041010         148P
USC00041048          14P
USC00041072          58S
USC00041080         480P
USC00041149         459S
USC00041159         412S
USC00041214         182P
USC00041244          29S
USC00041253         124S
USC00041277         337S
USC00041288          13S
USC00041312         273S
USC00041316         125C
USC00041428         169S
USC00041484         111P
USC00041497         252S
USC00041606         249P
USC00041614          43C
USC00041697         296S
USC00041700         222S
USC00041715         174P
USC00041758          65S
USC00041806         201P
USC00041838         288P
USC00041864          44S
USC00041878         195P
USC00041907         219S
USC00041912         311S
USC00041916         308S
USC00041948         122P
USC00041967         128P
USC00041990         113S
USC00042012          36S
USC00042081         305S
USC00042090         127P
USC00042147         451P
USC00042198         184P
USC00042214          86S
USC00042239         200S
USC00042294         132S
USC00042319          12S
USC00042327          33P
USC00042331          39P
USC00042346          37S
USC00042402         399S
USC00042406         167P
USC00042456         318P
USC00042467         258S
USC00042494         104P
USC00042500         381S
USC00042504          61S
USC00042506          82C
USC00042574         394S
USC00042598          25S
USC00042640         165P
USC00042671         340P
USC00042706          85S
USC00042709         107P
USC00042713          14S
USC00042728         203P
USC00042756         111P
USC00042760         144P
USC00042771          27S
USC00042805          76S
USC00042863         103S
USC00042920         153S
USC00042934         170S
USC00042941          95P
USC00043038         267S
USC00043083          39P
USC00043134         305S
USC00043157          73S
USC00043161         304S
USC00043244         109P
USC00043261         102S
USC00043357         555C
USC00043369         105P
USC00043402         133S
USC00043417         144S
USC00043452         134P
USC00043463         150S
USC00043489          30P
USC00043491         364S
USC00043498          38P
USC00043551         248S
USC00043573         347S
USC00043578         285C
USC00043614         205P
USC00043647         369P
USC00043672         237P
USC00043710          45S
USC00043714         186P
USC00043747          43S
USC00043800         261S
USC00043824         102S
USC00043855          25S
USC00043875         285S
USC00043878         278P
USC00043896          72S
USC00043914         162S
USC00043939         256S
USC00044025          89S
USC00044176         288S
USC00044211         179S
USC00044223          15S
USC00044232          28S
USC00044259          14P
USC00044278          26S
USC00044288         379P
USC00044297          24S
USC00044374          90S
USC00044422         147S
USC00044484         297P
USC00044500         290S
USC00044523          88P
USC00044536          41P
USC00044555          73S
USC00044577         538P
USC00044628         124P
USC00044647          91S
USC00044671         192S
USC00044705          81P
USC00044710         104S
USC00044712         174S
USC00044713         435P
USC00044735          92P
USC00044838          67S
USC00044863          81S
USC00044867         138P
USC00044881          88P
USC00044890         101S
USC00044957          85S
USC00044997          87S
USC00045026         253S
USC00045032         128S
USC00045064         109S
USC00045107         112P
USC00045118          49S
USC00045119          39S
USC00045120          39P
USC00045123         149S
USC00045147         126P
USC00045218         176P
USC00045233          75S
USC00045311         282S
USC00045352         199P
USC00045356         128P
USC00045360         194S
USC00045378         133S
USC00045385         167P
USC00045400         232S
USC00045449         318P
USC00045502          21S
USC00045532          83S
USC00045598         249P
USC00045679         356S
USC00045721          71S
USC00045756          35S
USC00045790          97P
USC00045795         140C
USC00045802         113P
USC00045866         111P
USC00045890          49P
USC00045915         168S
USC00045933         178S
USC00046006         178S
USC00046027         271S
USC00046074         196C
USC00046136         386S
USC00046144          85S
USC00046154          44S
USC00046161         105P
USC00046162         111P
USC00046168          61S
USC00046174         233P
USC00046175          70S
USC00046194         133S
USC00046197          16P
USC00046263          93P
USC00046329         146P
USC00046336         160S
USC00046370         353P
USC00046377          74S
USC00046390          22P
USC00046399         124S
USC00046498         461P
USC00046506         153S
USC00046508         370S
USC00046521         235P
USC00046569         103P
USC00046572          95P
USC00046597         347S
USC00046599         212S
USC00046602         134P
USC00046610         111S
USC00046624          46C
USC00046635          32S
USC00046646          98S
USC00046650         177P
USC00046657         160S
USC00046663          98P
USC00046675          56S
USC00046685         351S
USC00046699          43S
USC00046719         134S
USC00046726         175P
USC00046730         100S
USC00046773          41P
USC00046826         179S
USC00046896         153S
USC00046926         114S
USC00046940         115P
USC00046943         119S
USC00046944         111P
USC00046946         455S
USC00046960         262S
USC00047050         107P
USC00047077          69P
USC00047085         151S
USC00047109         331S
USC00047111          90P
USC00047150         152S
USC00047228         104P
USC00047253          42S
USC00047306          84S
USC00047339         128S
USC00047370         162S
USC00047404         407S
USC00047414         172S
USC00047470          64S
USC00047473          66S
USC00047581         412P
USC00047641         200P
USC00047643         260P
USC00047668          95S
USC00047672         154S
USC00047681         127S
USC00047689         308P
USC00047723         107P
USC00047731         146S
USC00047749         116P
USC00047767         134P
USC00047776         144S
USC00047779         165P
USC00047785         114S
USC00047807         203P
USC00047813          84S
USC00047821          97S
USC00047846          55P
USC00047851         157S
USC00047874          98S
USC00047880         209P
USC00047888          99S
USC00047902         122P
USC00047916         215S
USC00047933         202S
USC00047953          81S
USC00047957         105P
USC00047965         227S
USC00048014         118S
USC00048045         330S
USC00048135         390S
USC00048163         454P
USC00048200          35S
USC00048207         393P
USC00048317          76P
USC00048351         215S
USC00048353         238P
USC00048380         240P
USC00048406         101P
USC00048490         422S
USC00048560         124S
USC00048580         135P
USC00048587         148S
USC00048606         462S
USC00048655          65P
USC00048702          67P
USC00048752          29P
USC00048758         217S
USC00048826          81P
USC00048839          78S
USC00048873          42P
USC00048917         176S
USC00048928         326P
USC00048967         133P
USC00049001          71S
USC00049026         233S
USC00049035          25S
USC00049043         201S
USC00049053          36S
USC00049073          76S
USC00049087          99P
USC00049099          27S
USC00049105         311P
USC00049111         125P
USC00049122         284S
USC00049124         350P
USC00049152         118S
USC00049185         186S
USC00049200         177S
USC00049285         106P
USC00049325          35P
USC00049345          59P
USC00049351          76S
USC00049367          67S
USC00049378          88S
USC00049390         261S
USC00049431         120P
USC00049440         302P
USC00049452          32S
USC00049473         159S
USC00049490         236P
USC00049582         252S
USC00049621         371S
USC00049660         103P
USC00049671          45P
USC00049684         345P
USC00049742         156C
USC00049781         148P
USC00049792         205S
USC00049822         123P
USC00049855         236P
USC00049866         107S
USC00050102         116P
USC00050105         106P
USC00050109          94S
USC00050214          81S
USC00050263          36S
USC00050304         118P
USC00050372         105S
USC00050454          88S
USC00050776          32S
USC00050797          28S
USC00050834         109S
USC00050848         111S
USC00050895         108P
USC00050909          63S
USC00050945          71S
USC00050950          77S
USC00051017          33P
USC00051060         111P
USC00051071          40S
USC00051121         113S
USC00051179          83S
USC00051186         101S
USC00051268         107S
USC00051294          64S
USC00051401         108S
USC00051440          66P
USC00051458          24S
USC00051528          81S
USC00051539          77P
USC00051564         103S
USC00051609          59S
USC00051660          73S
USC00051681         128P
USC00051713          32S
USC00051741          64P
USC00051772          45S
USC00051886          49S
USC00051932          68S
USC00051939          46P
USC00051959         108C
USC00051964          54S
USC00051996          92P
USC00052184          41S
USC00052192          29P
USC00052281          34S
USC00052286          51S
USC00052326         106P
USC00052441         122P
USC00052446          97P
USC00052494         121S
USC00052631         111P
USC00052759          70P
USC00052790          95S
USC00052932         110S
USC00052944         113P
USC00052947         101P
USC00053005          87S
USC00053006          79P
USC00053016         103S
USC00053038          78P
USC00053063         109P
USC00053079          63S
USC00053116          80P
USC00053146          36S
USC00053246          51P
USC00053258         107P
USC00053261          76P
USC00053359          82S
USC00053489          29S
USC00053496          59C
USC00053500          38S
USC00053530          60S
USC00053541          48S
USC00053553          81C
USC00053592          58P
USC00053629         105S
USC00053656          80P
USC00053662          33S
USC00053738          99P
USC00053828          93S
USC00053867          65C
USC00053951          78S
USC00054054          51P
USC00054076         110S
USC00054082         108S
USC00054135          67P
USC00054172          95P
USC00054242         123S
USC00054293         121P
USC00054380         112S
USC00054388          77S
USC00054413         119P
USC00054444          86C
USC00054452          98S
USC00054538         103P
USC00054546          98P
USC00054603         102S
USC00054606         102P
USC00054664          38S
USC00054724          80P
USC00054726          91S
USC00054734          50S
USC00054742          49S
USC00054762         101C
USC00054770          94C
USC00054834          77S
USC00054934         193S
USC00054945          93S
USC00055025          86P
USC00055116          74P
USC00055236          74P
USC00055322          24S
USC00055327          85P
USC00055414         164P
USC00055422          61P
USC00055446          50S
USC00055484          75P
USC00055507          52P
USC00055531         103S
USC00055706          32S
USC00055722          31C
USC00055734         130P
USC00055797         203P
USC00055922          84P
USC00055934          83P
USC00055970          54P
USC00055984          65P
USC00056012          85S
USC00056023          73P
USC00056131          66S
USC00056136          67S
USC00056203         121P
USC00056258         110P
USC00056266          43S
USC00056306          61S
USC00056318          74P
USC00056326          93P
USC00056524          42P
USC00056765          64S
USC00056797          98P
USC00056816         105S
USC00056832          44S
USC00056977          47P
USC00057017         154P
USC00057020          94S
USC00057031          42P
USC00057050         119P
USC00057167          67S
USC00057287          89S
USC00057296          48P
USC00057309         132S
USC00057317         153P
USC00057337          31S
USC00057370          35P
USC00057430          37P
USC00057460          54S
USC00057510         108S
USC00057515         113S
USC00057560          97P
USC00057572          67P
USC00057618         101P
USC00057656         125S
USC00057816          82P
USC00057848          43P
USC00057866          94P
USC00057936         109S
USC00057950          99S
USC00057992         115P
USC00058008         115P
USC00058022         118P
USC00058064          52P
USC00058157          64S
USC00058184          64S
USC00058204          99S
USC00058290          85P
USC00058429          90S
USC00058436          93P
USC00058501          22P
USC00058560          55S
USC00058575          92P
USC00058582         161P
USC00058690          92P
USC00058756          40S
USC00058781          93S
USC00058793         120S
USC00058839          94S
USC00058931          67S
USC00058995          94S
USC00059096          45S
USC00059175         116S
USC00059181         314P
USC00059213          92P
USC00059216         122P
USC00059243         110S
USC00059265          51S
USC00059275          80P
USC00059295         108S
USC00059297         108P
USC00060128         339S
USC00060227         371P
USC00060299         340S
USC00060961         318P
USC00060973         353S
USC00061762         338P
USC00062169         308P
USC00062658         303S
USC00063207         332S
USC00063857         325P
USC00064488         351P
USC00064767         344P
USC00065077         341P
USC00065445         362S
USC00065910         367S
USC00066655         333P
USC00066966         321P
USC00067002         344P
USC00067157         324P
USC00067373         339P
USC00067432         330P
USC00067959         335P
USC00067970         359P
USC00068065         332P
USC00068138         332P
USC00068436         347P
USC00069162         365P
USC00069388         349S
USC00069568         336P
USC00069775         338S
USC00072730         312S
USC00073570         321P
USC00073595         307P
USC00075320         324S
USC00076410         301P
USC00079605         341S
USC00080228         343S
USC00080236         327C
USC00080369         328S
USC00080390         316P
USC00080478         334S
USC00080611         343P
USC00080945         354S
USC00081046         347S
USC00081276         338C
USC00081544         402S
USC00081641         321S
USC00081654         303P
USC00081795         245P
USC00081978         333S
USC00082008         368S
USC00082220         413P
USC00082229         382S
USC00082288         307S
USC00082298         364S
USC00082418         229P
USC00082441         239P
USC00082850         334P
USC00082915         307S
USC00082944         314S
USC00083020         287S
USC00083163         395C
USC00083207         341C
USC00083322         345P
USC00083470         344S
USC00083874         341S
USC00083909         409S
USC00083956         339S
USC00083986         355S
USC00084095         372P
USC00084210         327P
USC00084289         354S
USC00084366         307S
USC00084394         330S
USC00084625         334S
USC00084707         336P
USC00084731         343S
USC00084802         341P
USC00085076         317S
USC00085099         316S
USC00085184         393P
USC00085275         331S
USC00085539         355S
USC00085667         410P
USC00085793         428P
USC00085879         370P
USC00085895         313S
USC00085973         318S
USC00086065         374S
USC00086078         367S
USC00086240         406S
USC00086406         370S
USC00086414         329C
USC00086485         300S
USC00086618         346P
USC00086842         383S
USC00086880         354S
USC00087020         389P
USC00087025         355S
USC00087205         363C
USC00087397         339S
USC00087429         348P
USC00087760         331S
USC00087826         317S
USC00087851         355C
USC00087982         334S
USC00088565         389P
USC00088620         380P
USC00088780         337P
USC00088824         337C
USC00088841         281P
USC00088942         345S
USC00089120         374S
USC00089176         315S
USC00089219         355S
USC00089401         345S
USC00089566         397S
USC00089707         334S
USC00090010         301S
USC00090044         333P
USC00090140         346S
USC00090219         356P
USC00090253         322P
USC00090406         323P
USC00090441         349P
USC00090444         361S
USC00090586         344S
USC00090603         361S
USC00090746         402P
USC00090969         383S
USC00090979         355P
USC00091132         320P
USC00091266         311S
USC00091340         323S
USC00091372         338S
USC00091425         301P
USC00091448         305P
USC00091463         351P
USC00091474         364P
USC00091500         339S
USC00091585         376S
USC00091619         343S
USC00091640         357S
USC00091657         383P
USC00091665         275P
USC00091670         347S
USC00091732         357S
USC00091863         368C
USC00091906         314P
USC00091965         396P
USC00091973         298P
USC00091982         454S
USC00092006         412C
USC00092055         329P
USC00092180         342S
USC00092266         304S
USC00092283         375S
USC00092318         344P
USC00092361         318S
USC00092408         365S
USC00092429         345S
USC00092450         348S
USC00092475         416P
USC00092485         353C
USC00092493         387P
USC00092517         311P
USC00092532         319P
USC00092570         341P
USC00092578         415P
USC00092716         338P
USC00092791         376P
USC00092839         327S
USC00092966         316S
USC00093060         322C
USC00093115         406S
USC00093147         353C
USC00093271         339P
USC00093325         311P
USC00093386         305P
USC00093465         339S
USC00093538         334S
USC00093570         355P
USC00093621         361C
USC00093695         289S
USC00093754         311S
USC00094133         327P
USC00094170         302S
USC00094230         483P
USC00094429         330S
USC00094594         303S
USC00094648         383S
USC00094674         331P
USC00094700         344S
USC00094728         317S
USC00094941         395S
USC00094949         357P
USC00095204         308P
USC00095314         303S
USC00095394         340S
USC00095404         371P
USC00095811         325P
USC00095858         316P
USC00095863         299S
USC00095874         313S
USC00095882         298P
USC00095979         300S
USC00095988         318S
USC00096043         342S
USC00096087         327S
USC00096335         340S
USC00096407         386P
USC00097087         323S
USC00097201         327S
USC00097430         356P
USC00097489         317P
USC00097600         371S
USC00097777         315S
USC00097808         311S
USC00097827         405P
USC00098064         318S
USC00098223         324P
USC00098351         311P
USC00098436         381S
USC00098476         318P
USC00098496         321P
USC00098535         350S
USC00098600         331S
USC00098661         331S
USC00098703         316S
USC00098740         377S
USC00098950         345S
USC00099077         367P
USC00099157         298S
USC00099186         325S
USC00099194         317S
USC00099291         334S
USC00099466         337P
USC00099486         334P
USC00099502         317P
USC00099506         324S
USC00099524         340P
USC00100010          26S
USC00100227          35S
USC00100347          70P
USC00100375          40P
USC00100448          97P
USC00100470          99S
USC00100667         120S
USC00100803          60P
USC00101017          86C
USC00101079          89S
USC00101180          60S
USC00101195          21S
USC00101220          31S
USC00101363         181S
USC00101380          32P
USC00101408         120S
USC00101514         112S
USC00101551          42S
USC00101636         166S
USC00101663          20P
USC00101671          22S
USC00101956         132P
USC00102159          92S
USC00102246          79P
USC00102260          77S
USC00102444          24S
USC00102575         104P
USC00102707          43C
USC00102845         109C
USC00102875         136S
USC00102942          44S
USC00103110          46P
USC00103143         233S
USC00103297          32S
USC00103448         161S
USC00103554          56P
USC00103732          56S
USC00103760          15S
USC00103771         121S
USC00103882          66P
USC00103932          34S
USC00103964          22S
USC00104140          38S
USC00104150         233P
USC00104268          66P
USC00104384          25S
USC00104442         126S
USC00104455          51S
USC00104456          52S
USC00104598         145P
USC00104670          37S
USC00104793         111P
USC00104831         175S
USC00104845          99S
USC00105013         135P
USC00105275          34S
USC00105462          31S
USC00105563          34P
USC00105567          29P
USC00105678          46S
USC00105685          22P
USC00105708         132S
USC00105716          65P
USC00105897          57S
USC00105980          26S
USC00106152         141S
USC00106174          35P
USC00106230         185P
USC00106305          27S
USC00106424          82S
USC00106542          39S
USC00106586         128P
USC00106844          25S
USC00106877          33P
USC00106891          30S
USC00107040          71S
USC00107046         238P
USC00107208          46P
USC00107264          86P
USC00107301         143P
USC00107320         216P
USC00107346          72P
USC00107386         174C
USC00107644          45P
USC00107648          26S
USC00107673          41S
USC00107706          58S
USC00107968          27P
USC00108022          59S
USC00108062         162P
USC00108080          22S
USC00108137         194S
USC00108380          41S
USC00108535          56S
USC00108676          50P
USC00108928          15S
USC00108937          74S
USC00109000          38P
USC00109293          30S
USC00109303          36S
USC00109498         213P
USC00109638          41P
USC00109846          86S
USC00109951         138P
USC00109963          78P
USC00110050         269P
USC00110072         248S
USC00110137         290P
USC00110187         338S
USC00110203         233P
USC00110330         266P
USC00110338         235S
USC00110356         250S
USC00110442         243P
USC00110492         242P
USC00110500         266S
USC00110583         244P
USC00110598         256S
USC00110608         299P
USC00110761         274S
USC00110803         243P
USC00110868         241S
USC00110993         342S
USC00111020         279P
USC00111160         294S
USC00111250         281P
USC00111265         319S
USC00111280         264P
USC00111290         305P
USC00111296         302P
USC00111302         316P
USC00111316         287P
USC00111329         309P
USC00111386         304P
USC00111420         241S
USC00111436         300S
USC00111475         235S
USC00111491         299S
USC00111497         240S
USC00111627         235S
USC00111700         303S
USC00111743         276S
USC00111836         254P
USC00112048         244P
USC00112140         285C
USC00112145         291C
USC00112193         276S
USC00112223         229S
USC00112344         302S
USC00112348         253S
USC00112353         343P
USC00112483         316S
USC00112500         246P
USC00112679         304P
USC00112736         242S
USC00112745         235P
USC00112923         234S
USC00112931         305S
USC00112993         251P
USC00113061         288P
USC00113109         315S
USC00113262         229C
USC00113290         228S
USC00113312         231S
USC00113320         249S
USC00113335         257P
USC00113384         242S
USC00113392         217P
USC00113413         241S
USC00113455         247S
USC00113530         259S
USC00113572         279P
USC00113580         337P
USC00113595         305S
USC00113666         265S
USC00113683         276P
USC00113693         278P
USC00113717         255P
USC00113738         222P
USC00113774         266P
USC00113879         320P
USC00113902         232P
USC00113940         271S
USC00114013         238P
USC00114089         315S
USC00114108         306S
USC00114198         264S
USC00114317         316S
USC00114355         227S
USC00114400         315P
USC00114442         267C
USC00114489         281S
USC00114530         234S
USC00114603         252S
USC00114629         285S
USC00114655         238P
USC00114710         243P
USC00114739         260S
USC00114756         294P
USC00114780         265P
USC00114805         244S
USC00114823         255S
USC00114837         227P
USC00114879         243P
USC00114957         304S
USC00115079         257P
USC00115110         249P
USC00115272         266P
USC00115280         238S
USC00115326         216P
USC00115342         334P
USC00115372         248C
USC00115413         243P
USC00115430         273S
USC00115493         221P
USC00115515         306P
USC00115539         269P
USC00115712         244S
USC00115758         253P
USC00115768         255S
USC00115772         252P
USC00115792         274P
USC00115825         236P
USC00115833         250S
USC00115841         254S
USC00115876         249P
USC00115888         316S
USC00115901         258S
USC00115927         250S
USC00115935         285P
USC00115943         297S
USC00115950         279P
USC00115961         224P
USC00115983         325P
USC00116011         275C
USC00116072         308P
USC00116080         234S
USC00116134         269P
USC00116157         314P
USC00116159         294P
USC00116200         266S
USC00116383         350P
USC00116446         326S
USC00116526         228S
