AQC00914000         683P
USC00031968         145S
USC00032015         175S
USC00032148         163C
USC00032355         190S
USC00032356         138P
USC00032366         146S
USC00032444         137P
USC00032475         183P
USC00032540         174S
USC00032670         175P
USC00032760         155S
USC00032794         148S
USC00032842         190S
USC00032922         169S
USC00032930         142S
USC00032946         138P
USC00032962         154P
USC00032978         147C
USC00033132         148P
USC00033242         168S
USC00033428         166S
USC00033438         197S
USC00033442         183S
USC00033466         184S
USC00033544         148S
USC00033704         177P
USC00033734         154S
USC00033821         150S
USC00033862         147S
USC00034010         142S
USC00034106         133S
USC00034134         176P
USC00034185         166P
USC00034528         160S
USC00034548         169S
USC00034562         184S
USC00034572         137S
USC00034638         160S
USC00034666         137P
USC00034746         144S
USC00034756         185C
USC00034938         148P
USC00034988         184S
USC00035018         164P
USC00035036         139C
USC00035046         145P
USC00035079         172P
USC00035112         168S
USC00035160         165S
USC00035177         177P
USC00035186         150S
USC00035200         166S
USC00035354         175S
USC00035358         181S
USC00035498         173P
USC00035508         154P
USC00035512         177P
USC00035563         138C
USC00035591         152S
USC00035691         152S
USC00035754         175S
USC00035760         179C
USC00035820         152S
USC00035866         169S
USC00035908         184S
USC00036008         138S
USC00036253         171S
USC00036376         168S
USC00036380         141S
USC00036393         180P
USC00036403         150S
USC00036506         154S
USC00036562         176S
USC00036768         176P
USC00036918         155S
USC00036920         157S
USC00036928         144S
USC00037038         187P
USC00037383         177P
USC00037488         156S
USC00037582         182S
USC00037712         171S
USC00038052         143S
USC00040010          29P
USC00040014          26P
USC00040029           8S
USC00040136          39P
USC00040144          75P
USC00040161           6S
USC00040192          39P
USC00040212         129S
USC00040232          22P
USC00040235          25P
USC00040343          81S
USC00040379          80S
USC00040383         111S
USC00040436           3P
USC00040449          95S
USC00040521           8S
USC00040673         159S
USC00040684           7P
USC00040693          66P
USC00040738          71P
USC00040741          53S
USC00040779          83P
USC00040790         144S
USC00040798          85P
USC00040819          15P
USC00040850         116P
USC00040924           4S
USC00040931          52S
USC00040943          10S
USC00040983          13S
USC00041010          60P
USC00041048           3P
USC00041072          20S
USC00041080         239P
USC00041149         243S
USC00041159         257S
USC00041214          50P
USC00041244           3S
USC00041253          65S
USC00041277         197S
USC00041288           2S
USC00041312         143S
USC00041316          33C
USC00041428          55S
USC00041484          57P
USC00041497         110S
USC00041606          89P
USC00041614           6C
USC00041697         161S
USC00041700          87S
USC00041715          58P
USC00041758          18S
USC00041806          83P
USC00041838         147P
USC00041864           8S
USC00041878          90P
USC00041907          76S
USC00041912         156S
USC00041916         137S
USC00041948          24P
USC00041967          37P
USC00041990          22S
USC00042012           7S
USC00042081         127S
USC00042090          58P
USC00042147         210P
USC00042198         106P
USC00042214          37S
USC00042239         102S
USC00042294          39S
USC00042319       -7777S
USC00042327          11P
USC00042331          11P
USC00042346           3S
USC00042402         243S
USC00042406          75P
USC00042456         173P
USC00042467         122S
USC00042494          48P
USC00042500         220S
USC00042504          16S
USC00042506          36C
USC00042574         225S
USC00042598           6S
USC00042640          57P
USC00042671         165P
USC00042706          31S
USC00042709          36P
USC00042713           4S
USC00042728          85P
USC00042756          37P
USC00042760          43P
USC00042771           7S
USC00042805          29S
USC00042863          36S
USC00042920          45S
USC00042934          61S
USC00042941          50P
USC00043038         124S
USC00043083           6P
USC00043134         170S
USC00043157          11S
USC00043161         120S
USC00043244          20P
USC00043261          25S
USC00043357         328C
USC00043369          30P
USC00043402          80S
USC00043417          54S
USC00043452          67P
USC00043463          48S
USC00043489           6P
USC00043491         189S
USC00043498          12P
USC00043551         139S
USC00043573         182S
USC00043578         138C
USC00043614         115P
USC00043647         158P
USC00043672         128P
USC00043710          13S
USC00043714          67P
USC00043747          10S
USC00043800         109S
USC00043824          19S
USC00043855           9S
USC00043875         149S
USC00043878         152P
USC00043896          27S
USC00043914          78S
USC00043939         121S
USC00044025          21S
USC00044176         156S
USC00044211          80S
USC00044223           3S
USC00044232           8S
USC00044259           5P
USC00044278           7S
USC00044288         210P
USC00044297           5S
USC00044374          17S
USC00044422          88S
USC00044484         131P
USC00044500         164S
USC00044523          26P
USC00044536          10P
USC00044555          19S
USC00044577         279P
USC00044628          67P
USC00044647          35S
USC00044671         124S
USC00044705          22P
USC00044710          42S
USC00044712          71S
USC00044713         267P
USC00044735          26P
USC00044838          17S
USC00044863          28S
USC00044867          69P
USC00044881          33P
USC00044890          27S
USC00044957          15S
USC00044997          19S
USC00045026         140S
USC00045032          33S
USC00045064          41S
USC00045107          47P
USC00045118           6S
USC00045119           6S
USC00045120           2P
USC00045123          62S
USC00045147          76P
USC00045218         108P
USC00045233          16S
USC00045311          96S
USC00045352          97P
USC00045356          53P
USC00045360          81S
USC00045378          42S
USC00045385          48P
USC00045400         109S
USC00045449         164P
USC00045502           7S
USC00045532          10S
USC00045598         145P
USC00045679         175S
USC00045721          27S
USC00045756          11S
USC00045790          46P
USC00045795          41C
USC00045802          27P
USC00045866          35P
USC00045890          12P
USC00045915          53S
USC00045933          59S
USC00046006         109S
USC00046027         117S
USC00046074          71C
USC00046136         223S
USC00046144          16S
USC00046154           9S
USC00046161          58P
USC00046162          57P
USC00046168          12S
USC00046174          99P
USC00046175          23S
USC00046194          36S
USC00046197           2P
USC00046263          44P
USC00046329          48P
USC00046336          55S
USC00046370         203P
USC00046377          20S
USC00046390           9P
USC00046399          68S
USC00046498         225P
USC00046506          53S
USC00046508         166S
USC00046521          80P
USC00046569          45P
USC00046572          40P
USC00046597         193S
USC00046599          84S
USC00046602          69P
USC00046610          34S
USC00046624          16C
USC00046635          10S
USC00046646          26S
USC00046650          78P
USC00046657          89S
USC00046663          38P
USC00046675          12S
USC00046685         214S
USC00046699          11S
USC00046719          69S
USC00046726          72P
USC00046730          36S
USC00046773          13P
USC00046826          60S
USC00046896          53S
USC00046926          35S
USC00046940          58P
USC00046943          46S
USC00046944          15P
USC00046946         283S
USC00046960         125S
USC00047050          55P
USC00047077           9P
USC00047085          52S
USC00047109         149S
USC00047111          32P
USC00047150          57S
USC00047228          39P
USC00047253          12S
USC00047306          31S
USC00047339          47S
USC00047370          55S
USC00047404         242S
USC00047414          60S
USC00047470          21S
USC00047473          21S
USC00047581         231P
USC00047641          94P
USC00047643         129P
USC00047668          23S
USC00047672          70S
USC00047681          59S
USC00047689         155P
USC00047723          46P
USC00047731          58S
USC00047749          60P
USC00047767          45P
USC00047776          75S
USC00047779         100P
USC00047785          58S
USC00047807          79P
USC00047813          29S
USC00047821          24S
USC00047846          10P
USC00047851          69S
USC00047874          30S
USC00047880         102P
USC00047888          37S
USC00047902          59P
USC00047916          86S
USC00047933         112S
USC00047953          33S
USC00047957          55P
USC00047965          94S
USC00048014          53S
USC00048045         138S
USC00048135         233S
USC00048163         219P
USC00048200           5S
USC00048207         238P
USC00048317          42P
USC00048351          87S
USC00048353         110P
USC00048380         127P
USC00048406          32P
USC00048490         250S
USC00048560          33S
USC00048580          54P
USC00048587          56S
USC00048606         298S
USC00048655          29P
USC00048702          21P
USC00048752           5P
USC00048758          94S
USC00048826          20P
USC00048839          18S
USC00048873           8P
USC00048917          69S
USC00048928         166P
USC00048967          86P
USC00049001          15S
USC00049026          74S
USC00049035           3S
USC00049043          82S
USC00049053           2S
USC00049073          13S
USC00049087          35P
USC00049099           6S
USC00049105         154P
USC00049111          48P
USC00049122         123S
USC00049124         177P
USC00049152          59S
USC00049185          69S
USC00049200          75S
USC00049285          49P
USC00049325           9P
USC00049345          20P
USC00049351          20S
USC00049367          11S
USC00049378          28S
USC00049390          87S
USC00049431          54P
USC00049440         158P
USC00049452           5S
USC00049473          57S
USC00049490          85P
USC00049582         130S
USC00049621         227S
USC00049660          37P
USC00049671          10P
USC00049684         169P
USC00049742          58C
USC00049781          48P
USC00049792          92S
USC00049822          67P
USC00049855         117P
USC00049866          32S
USC00050102          25P
USC00050105          25P
USC00050109          23S
USC00050214          11S
USC00050263           6S
USC00050304          39P
USC00050372          11S
USC00050454          17S
USC00050776           3S
USC00050797           2S
USC00050834          37S
USC00050848          31S
USC00050895          30P
USC00050909           4S
USC00050945          22S
USC00050950          22S
USC00051017           4P
USC00051060          36P
USC00051071           5S
USC00051121          30S
USC00051179          21S
USC00051186          18S
USC00051268          32S
USC00051294          12S
USC00051401          29S
USC00051440          12P
USC00051458       -7777S
USC00051528          14S
USC00051539          20P
USC00051564          33S
USC00051609           5S
USC00051660           5S
USC00051681          32P
USC00051713           1S
USC00051741           6P
USC00051772           2S
USC00051886           6S
USC00051932           7S
USC00051939           4P
USC00051959          16C
USC00051964           9S
USC00051996          26P
USC00052184           5S
USC00052192           3P
USC00052281           1S
USC00052286           7S
USC00052326          18P
USC00052441          33P
USC00052446          32P
USC00052494          31S
USC00052631          34P
USC00052759          15P
USC00052790          23S
USC00052932          35S
USC00052944          34P
USC00052947          28P
USC00053005          23S
USC00053006          23P
USC00053016          22S
USC00053038          20P
USC00053063          39P
USC00053079          16S
USC00053116          11P
USC00053146           3S
USC00053246           6P
USC00053258          31P
USC00053261          11P
USC00053359          13S
USC00053489       -7777S
USC00053496           6C
USC00053500           4S
USC00053530           9S
USC00053541           9S
USC00053553          22C
USC00053592           8P
USC00053629          32S
USC00053656          11P
USC00053662           3S
USC00053738          14P
USC00053828          25S
USC00053867           6C
USC00053951          18S
USC00054054           6P
USC00054076          39S
USC00054082          34S
USC00054135           5P
USC00054172          28P
USC00054242          38S
USC00054293          33P
USC00054380          33S
USC00054388          25S
USC00054413          37P
USC00054444          23C
USC00054452          22S
USC00054538          31P
USC00054546          30P
USC00054603          35S
USC00054606          36P
USC00054664           3S
USC00054724          22P
USC00054726          24S
USC00054734           4S
USC00054742           7S
USC00054762          28C
USC00054770          28C
USC00054834          24S
USC00054934          50S
USC00054945          28S
USC00055025          20P
USC00055116          22P
USC00055236          21P
USC00055322           2S
USC00055327          15P
USC00055414          29P
USC00055422           3P
USC00055446           5S
USC00055484          10P
USC00055507           2P
USC00055531          21S
USC00055706           2S
USC00055722           3C
USC00055734          33P
USC00055797          45P
USC00055922          26P
USC00055934          24P
USC00055970           6P
USC00055984          21P
USC00056012          12S
USC00056023          18P
USC00056131          20S
USC00056136          16S
USC00056203          10P
USC00056258          19P
USC00056266           3S
USC00056306           6S
USC00056318          11P
USC00056326          24P
USC00056524           3P
USC00056765          16S
USC00056797          16P
USC00056816          27S
USC00056832           1S
USC00056977           5P
USC00057017          39P
USC00057020           7S
USC00057031           5P
USC00057050          21P
USC00057167          18S
USC00057287          22S
USC00057296           5P
USC00057309          35S
USC00057317          42P
USC00057337           1S
USC00057370           3P
USC00057430           4P
USC00057460           3S
USC00057510          29S
USC00057515          33S
USC00057560          26P
USC00057572          14P
USC00057618          18P
USC00057656          20S
USC00057816          22P
USC00057848           2P
USC00057866          27P
USC00057936          13S
USC00057950          28S
USC00057992          46P
USC00058008          37P
USC00058022          32P
USC00058064           4P
USC00058157          16S
USC00058184           2S
USC00058204           7S
USC00058290          23P
USC00058429          19S
USC00058436          20P
USC00058501           3P
USC00058560           6S
USC00058575           6P
USC00058582          39P
USC00058690          24P
USC00058756           3S
USC00058781          23S
USC00058793          41S
USC00058839          27S
USC00058931          15S
USC00058995          23S
USC00059096           3S
USC00059175          10S
USC00059181         110P
USC00059213          28P
USC00059216          28P
USC00059243          35S
USC00059265           3S
USC00059275          11P
USC00059295          31S
USC00059297          36P
USC00060128         157S
USC00060227         155P
USC00060299         133S
USC00060961         122P
USC00060973         157S
USC00061762         148P
USC00062169         125P
USC00062658         109S
USC00063207         133S
USC00063857         131P
USC00064488         137P
USC00064767         145P
USC00065077         138P
USC00065445         134S
USC00065910         159S
USC00066655         152P
USC00066966         134P
USC00067002         146P
USC00067157         147P
USC00067373         147P
USC00067432         153P
USC00067959         129P
USC00067970         158P
USC00068065         148P
USC00068138         138P
USC00068436         145P
USC00069162         180P
USC00069388         141S
USC00069568         148P
USC00069775         134S
USC00072730         117S
USC00073570         124P
USC00073595         124P
USC00075320         124S
USC00076410         127P
USC00079605         142S
USC00080228         178S
USC00080236         165C
USC00080369         166S
USC00080390         153P
USC00080478         161S
USC00080611         156P
USC00080945         169S
USC00081046         164S
USC00081276         169C
USC00081544         190S
USC00081641         150S
USC00081654         146P
USC00081795         119P
USC00081978         163S
USC00082008         184S
USC00082220         213P
USC00082229         183S
USC00082288         144S
USC00082298         185S
USC00082418         100P
USC00082441         114P
USC00082850         164P
USC00082915         142S
USC00082944         151S
USC00083020         132S
USC00083163         193C
USC00083207         159C
USC00083322         173P
USC00083470         165S
USC00083874         162S
USC00083909         205S
USC00083956         170S
USC00083986         171S
USC00084095         178P
USC00084210         161P
USC00084289         165S
USC00084366         145S
USC00084394         151S
USC00084625         152S
USC00084707         159P
USC00084731         170S
USC00084802         179P
USC00085076         137S
USC00085099         166S
USC00085184         183P
USC00085275         164S
USC00085539         165S
USC00085667         206P
USC00085793         216P
USC00085879         182P
USC00085895         133S
USC00085973         157S
USC00086065         194S
USC00086078         169S
USC00086240         214S
USC00086406         181S
USC00086414         146C
USC00086485         142S
USC00086618         170P
USC00086842         193S
USC00086880         178S
USC00087020         199P
USC00087025         167S
USC00087205         166C
USC00087397         162S
USC00087429         165P
USC00087760         158S
USC00087826         146S
USC00087851         171C
USC00087982         163S
USC00088565         196P
USC00088620         187P
USC00088780         160P
USC00088824         156C
USC00088841         135P
USC00088942         163S
USC00089120         182S
USC00089176         154S
USC00089219         154S
USC00089401         165S
USC00089566         181S
USC00089707         154S
USC00090010         131S
USC00090044         151P
USC00090140         166S
USC00090219         168P
USC00090253         150P
USC00090406         157P
USC00090441         177P
USC00090444         151S
USC00090586         176S
USC00090603         158S
USC00090746         176P
USC00090969         168S
USC00090979         169P
USC00091132         133P
USC00091266         137S
USC00091340         147S
USC00091372         151S
USC00091425         149P
USC00091448         128P
USC00091463         162P
USC00091474         156P
USC00091500         164S
USC00091585         163S
USC00091619         158S
USC00091640         156S
USC00091657         175P
USC00091665         134P
USC00091670         154S
USC00091732         160S
USC00091863         160C
USC00091906         134P
USC00091965         189P
USC00091973         137P
USC00091982         232S
USC00092006         186C
USC00092055         143P
USC00092180         154S
USC00092266         137S
USC00092283         173S
USC00092318         144P
USC00092361         133S
USC00092408         160S
USC00092429         153S
USC00092450         165S
USC00092475         203P
USC00092485         157C
USC00092493         183P
USC00092517         139P
USC00092532         142P
USC00092570         162P
USC00092578         202P
USC00092716         152P
USC00092791         173P
USC00092839         153S
USC00092966         145S
USC00093060         137C
USC00093115         176S
USC00093147         158C
USC00093271         137P
USC00093325         145P
USC00093386         140P
USC00093465         149S
USC00093538         157S
USC00093570         161P
USC00093621         162C
USC00093695         126S
USC00093754         137S
USC00094133         155P
USC00094170         140S
USC00094230         231P
USC00094429         155S
USC00094594         141S
USC00094648         174S
USC00094674         144P
USC00094700         137S
USC00094728         149S
USC00094941         182S
USC00094949         171P
USC00095204         134P
USC00095314         127S
USC00095394         153S
USC00095404         160P
USC00095811         164P
USC00095858         153P
USC00095863         140S
USC00095874         133S
USC00095882         128P
USC00095979         139S
USC00095988         133S
USC00096043         164S
USC00096087         156S
USC00096335         153S
USC00096407         182P
USC00097087         143S
USC00097201         150S
USC00097430         136P
USC00097489         134P
USC00097600         158S
USC00097777         140S
USC00097808         150S
USC00097827         188P
USC00098064         132S
USC00098223         128P
USC00098351         138P
USC00098436         194S
USC00098476         138P
USC00098496         151P
USC00098535         156S
USC00098600         136S
USC00098661         155S
USC00098703         142S
USC00098740         180S
USC00098950         148S
USC00099077         164P
USC00099157         125S
USC00099186         154S
USC00099194         151S
USC00099291         155S
USC00099466         163P
USC00099486         146P
USC00099502         157P
USC00099506         141S
USC00099524         147P
USC00100010           1S
USC00100227           4S
USC00100347          11P
USC00100375           7P
USC00100448          13P
USC00100470          12S
USC00100667          17S
USC00100803           7P
USC00101017          12C
USC00101079          12S
USC00101180           4S
USC00101195           1S
USC00101220           4S
USC00101363          31S
USC00101380           2P
USC00101408          13S
USC00101514          13S
USC00101551           4S
USC00101636          32S
USC00101663           3P
USC00101671           1S
USC00101956          19P
USC00102159          10S
USC00102246          12P
USC00102260          10S
USC00102444           2S
USC00102575          17P
USC00102707           3C
USC00102845          14C
USC00102875          19S
USC00102942           2S
USC00103110           5P
USC00103143          42S
USC00103297           3S
USC00103448          32S
USC00103554           1P
USC00103732           5S
USC00103760           2S
USC00103771          15S
USC00103882           9P
USC00103932           4S
USC00103964           2S
USC00104140           4S
USC00104150          45P
USC00104268           8P
USC00104384           3S
USC00104442          19S
USC00104455           5S
USC00104456           6S
USC00104598          24P
USC00104670           1S
USC00104793          12P
USC00104831          24S
USC00104845          18S
USC00105013          19P
USC00105275           4S
USC00105462           3S
USC00105563           3P
USC00105567       -7777P
USC00105678           4S
USC00105685           3P
USC00105708          13S
USC00105716           8P
USC00105897           5S
USC00105980       -7777S
USC00106152          19S
USC00106174           3P
USC00106230          43P
USC00106305       -7777S
USC00106424           7S
USC00106542           3S
USC00106586          13P
USC00106844           1S
USC00106877           1P
USC00106891           2S
USC00107040           8S
USC00107046          42P
USC00107208           7P
USC00107264           8P
USC00107301          17P
USC00107320          40P
USC00107346          10P
USC00107386          28C
USC00107644           6P
USC00107648           2S
USC00107673           3S
USC00107706           3S
USC00107968           2P
USC00108022          10S
USC00108062          31P
USC00108080       -7777S
USC00108137          42S
USC00108380           3S
USC00108535           7S
USC00108676           5P
USC00108928           2S
USC00108937           5S
USC00109000           1P
USC00109293       -7777S
USC00109303           5S
USC00109498          46P
USC00109638           1P
USC00109846          10S
USC00109951          19P
USC00109963           8P
USC00110050         105P
USC00110072          96S
USC00110137         110P
USC00110187         138S
USC00110203          81P
USC00110330         108P
USC00110338          87S
USC00110356          97S
USC00110442          88P
USC00110492          97P
USC00110500         106S
USC00110583          83P
USC00110598         102S
USC00110608         132P
USC00110761          93S
USC00110803          91P
USC00110868          88S
USC00110993         139S
USC00111020         110P
USC00111160         115S
USC00111250          94P
USC00111265         120S
USC00111280          94P
USC00111290         119P
USC00111296         121P
USC00111302         131P
USC00111316         117P
USC00111329         115P
USC00111386         111P
USC00111420          84S
USC00111436         105S
USC00111475          81S
USC00111491         124S
USC00111497          79S
USC00111627          88S
USC00111700         117S
USC00111743         100S
USC00111836          85P
USC00112048          89P
USC00112140         104C
USC00112145          98C
USC00112193         105S
USC00112223          79S
USC00112344         119S
USC00112348          89S
USC00112353         144P
USC00112483         125S
USC00112500          94P
USC00112679         116P
USC00112736          83S
USC00112745          93P
USC00112923          84S
USC00112931         108S
USC00112993          92P
USC00113061          98P
USC00113109         116S
USC00113262          89C
USC00113290          83S
USC00113312          88S
USC00113320          97S
USC00113335          99P
USC00113384          96S
USC00113392          86P
USC00113413          85S
USC00113455          94S
USC00113530         104S
USC00113572         118P
USC00113580         137P
USC00113595         128S
USC00113666          96S
USC00113683         112P
USC00113693         103P
USC00113717         102P
USC00113738          81P
USC00113774         102P
USC00113879         131P
USC00113902          80P
USC00113940          99S
USC00114013          92P
USC00114089         123S
USC00114108         115S
USC00114198          94S
USC00114317         130S
USC00114355          90S
USC00114400         115P
USC00114442         104C
USC00114489         107S
USC00114530          79S
USC00114603          93S
USC00114629         116S
USC00114655          92P
USC00114710          88P
USC00114739          95S
USC00114756         115P
USC00114780         109P
USC00114805          93S
USC00114823         103S
USC00114837          72P
USC00114879         104P
USC00114957         129S
USC00115079          90P
USC00115110          93P
USC00115272          90P
USC00115280          97S
USC00115326          79P
USC00115342         129P
USC00115372          94C
USC00115413          82P
USC00115430         103S
USC00115493          76P
USC00115515         105P
USC00115539          99P
USC00115712          83S
USC00115758          92P
USC00115768          93S
USC00115772         104P
USC00115792          90P
USC00115825          96P
USC00115833          94S
USC00115841          92S
USC00115876          85P
USC00115888         119S
USC00115901         100S
USC00115927         105S
USC00115935         105P
USC00115943         118S
USC00115950         107P
USC00115961          82P
USC00115983         117P
USC00116011         104C
USC00116072         122P
USC00116080          83S
USC00116134          99P
USC00116157         120P
USC00116159         105P
USC00116200          90S
USC00116383         145P
USC00116446         129S
